Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
148;[128, 128, 128];16;0.9;0.001;2000;0;1.7365000000000002;0.216436416118504
149;[128, 128, 128];16;0.9;0.001;20000;0;1.6924999999999997;0.353248810645163
150;[128, 128, 128];16;0.9;0.01;200;0;1.8785000000000003;0.18451211944536927
151;[128, 128, 128];16;0.9;0.01;2000;0;1.8100000000000005;0.2958978802822953
152;[128, 128, 128];16;0.9;0.01;20000;0;1.855;0.37520364840680565
153;[128, 128, 128];16;0.9;0.1;200;0;1.777;0.5072649975878266
154;[128, 128, 128];16;0.9;0.1;2000;0;1.861;0.39810523455209396
155;[128, 128, 128];16;0.9;0.1;20000;0;1.7920000000000003;0.40397469667734826
156;[128, 128, 128];16;0.99;0.0001;200;0;1.7100000000000002;0.24168390743098958
157;[128, 128, 128];16;0.99;0.0001;2000;0;1.9034999999999997;0.3859623614349519
158;[128, 128, 128];16;0.99;0.0001;20000;0;1.8385000000000002;0.3501590908271395
159;[128, 128, 128];16;0.99;0.001;200;0;1.783;0.2942240265134339
160;[128, 128, 128];16;0.99;0.001;2000;0;1.8244999999999998;0.4279761805417576
161;[128, 128, 128];16;0.99;0.001;20000;0;1.9175;0.3603027276548924
162;[128, 128, 128];16;0.99;0.01;200;0;1.669;0.2500977586642649
163;[128, 128, 128];16;0.99;0.01;2000;0;1.7525000000000002;0.28161488675928414
164;[128, 128, 128];16;0.99;0.01;20000;0;1.8335000000000001;0.37982488655226954
165;[128, 128, 128];16;0.99;0.1;200;0;1.7675;0.4548213935161802
166;[128, 128, 128];16;0.99;0.1;2000;0;1.7894999999999999;0.3877961234119461
167;[128, 128, 128];16;0.99;0.1;20000;0;1.9125;0.3093564107770985
168;[128, 128, 128];32;0.9;0.0001;200;0;1.783;0.4080795129492399
169;[128, 128, 128];32;0.9;0.0001;2000;0;1.7475;0.37877910595901554
170;[128, 128, 128];32;0.9;0.0001;20000;0;1.6809999999999998;0.2703783357527826
171;[128, 128, 128];32;0.9;0.001;200;0;1.782;0.44878973052223714
172;[128, 128, 128];32;0.9;0.001;2000;0;1.722;0.2723376172653675
173;[128, 128, 128];32;0.9;0.001;20000;0;1.7485;0.2481044806796792
174;[128, 128, 128];32;0.9;0.01;200;0;1.8060000000000003;0.41017475950298715
175;[128, 128, 128];32;0.9;0.01;2000;0;1.6605;0.27157411511408813
176;[128, 128, 128];32;0.9;0.01;20000;0;1.8560000000000003;0.2714958563219704
177;[128, 128, 128];32;0.9;0.1;200;0;1.7269999999999999;0.26876466368264346
178;[128, 128, 128];32;0.9;0.1;2000;0;1.7495;0.4263700140592545
179;[128, 128, 128];32;0.9;0.1;20000;0;1.9200000000000004;0.3947502726760018
