Column1;hidden layers;batch size;gamma;learning rate;replay_memory;strategy;mean_reward;std_reward
112;[128, 256];32;0.99;0.001;2000;0;0.7705;0.2381811868678502
113;[128, 256];32;0.99;0.001;20000;0;0.7315000000000002;0.291576652776666
114;[128, 256];32;0.99;0.01;200;0;0.7975;0.337204603237329
115;[128, 256];32;0.99;0.01;2000;0;0.7805;0.22700281447104964
116;[128, 256];32;0.99;0.01;20000;0;0.7304999999999999;0.19077983238394053
117;[128, 256];32;0.99;0.1;200;0;0.861;0.3072349806472781
118;[128, 256];32;0.99;0.1;2000;0;0.8005000000000001;0.1969270874658379
119;[128, 256];32;0.99;0.1;20000;0;0.7394999999999999;0.3239037065411743
120;[128, 256];64;0.9;0.0001;200;0;0.669;0.25535160944165686
121;[128, 256];64;0.9;0.0001;2000;0;0.8550000000000001;0.296582385031733
122;[128, 256];64;0.9;0.0001;20000;0;0.7145;0.28420894113701317
123;[128, 256];64;0.9;0.001;200;0;0.645;0.12181497809747736
124;[128, 256];64;0.9;0.001;2000;0;0.86;0.2424298294810732
125;[128, 256];64;0.9;0.001;20000;0;0.7455;0.26875691205581625
126;[128, 256];64;0.9;0.01;200;0;0.775;0.34672275187340484
127;[128, 256];64;0.9;0.01;2000;0;0.8280000000000001;0.16355766906846986
128;[128, 256];64;0.9;0.01;20000;0;0.7745000000000001;0.2345379618645041
129;[128, 256];64;0.9;0.1;200;0;0.8015000000000001;0.2687217685430209
130;[128, 256];64;0.9;0.1;2000;0;0.8354999999999999;0.25655246377040836
131;[128, 256];64;0.9;0.1;20000;0;0.808;0.25921033929995924
132;[128, 256];64;0.99;0.0001;200;0;0.6884999999999999;0.18764697942916345
133;[128, 256];64;0.99;0.0001;2000;0;0.8605;0.18831784597087742
134;[128, 256];64;0.99;0.0001;20000;0;0.885;0.1902921730158945
135;[128, 256];64;0.99;0.001;200;0;0.718;0.25382846351205157
136;[128, 256];64;0.99;0.001;2000;0;0.6925000000000001;0.20685811025381087
137;[128, 256];64;0.99;0.001;20000;0;0.737;0.2463308524908906
138;[128, 256];64;0.99;0.01;200;0;0.6174999999999999;0.31685301534518073
139;[128, 256];64;0.99;0.01;2000;0;0.7125;0.25717752191390636
140;[128, 256];64;0.99;0.01;20000;0;0.7965;0.1797227803529029
141;[128, 256];64;0.99;0.1;200;0;0.8790000000000001;0.3453564985795273
142;[128, 256];64;0.99;0.1;2000;0;0.764;0.30267143902258103
143;[128, 256];64;0.99;0.1;20000;0;0.743;0.19562151665340335
144;[128, 128, 128];16;0.9;0.0001;200;0;0.5710000000000001;0.16861857021758378
145;[128, 128, 128];16;0.9;0.0001;2000;0;0.8434999999999999;0.22222423610198574
146;[128, 128, 128];16;0.9;0.0001;20000;0;0.789;0.3225747114149596
147;[128, 128, 128];16;0.9;0.001;200;0;0.728;0.2966779024089556
148;[128, 128, 128];16;0.9;0.001;2000;0;0.7964999999999999;0.19810280720429538
149;[128, 128, 128];16;0.9;0.001;20000;0;0.7450000000000001;0.12965766892517816
150;[128, 128, 128];16;0.9;0.01;200;0;0.7829999999999998;0.1702318680179739
151;[128, 128, 128];16;0.9;0.01;2000;0;0.8074999999999999;0.24538235470383765
